vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(Phi_e),avg(V),avg(X),avg(Y),avg(Z),avg(vtkOriginalPointIds),max(Phi_e),max(V),max(X),max(Y),max(Z),max(vtkOriginalPointIds),med(Phi_e),med(V),med(X),med(Y),med(Z),med(vtkOriginalPointIds),min(Phi_e),min(V),min(X),min(Y),min(Z),min(vtkOriginalPointIds),q1(Phi_e),q1(V),q1(X),q1(Y),q1(Z),q1(vtkOriginalPointIds),q3(Phi_e),q3(V),q3(X),q3(Y),q3(Z),q3(vtkOriginalPointIds),std(Phi_e),std(V),std(X),std(Y),std(Z),std(vtkOriginalPointIds),vtkValidPointMask
1,16,1,16,0,99.9062,-94.0141,0.24,0.2,0,222,99.9062,-94.0141,0.24,0.2,0,222,99.9062,-94.0141,0.24,0.2,0,222,99.9062,-94.0141,0.24,0.2,0,222,99.9062,-94.0141,0.24,0.2,0,222,99.9062,-94.0141,0.24,0.2,0,222,0,0,0,0,0,0,1
1,17,1,17,0,100.731,-95.5768,0.24,0.2,0,222,100.731,-95.5768,0.24,0.2,0,222,100.731,-95.5768,0.24,0.2,0,222,100.731,-95.5768,0.24,0.2,0,222,100.731,-95.5768,0.24,0.2,0,222,100.731,-95.5768,0.24,0.2,0,222,0,0,0,0,0,0,1
1,18,1,18,0,101.682,-97.1767,0.24,0.2,0,222,101.682,-97.1767,0.24,0.2,0,222,101.682,-97.1767,0.24,0.2,0,222,101.682,-97.1767,0.24,0.2,0,222,101.682,-97.1767,0.24,0.2,0,222,101.682,-97.1767,0.24,0.2,0,222,0,0,0,0,0,0,1
1,19,1,19,0,102.626,-98.7256,0.24,0.2,0,222,102.626,-98.7256,0.24,0.2,0,222,102.626,-98.7256,0.24,0.2,0,222,102.626,-98.7256,0.24,0.2,0,222,102.626,-98.7256,0.24,0.2,0,222,102.626,-98.7256,0.24,0.2,0,222,0,0,0,0,0,0,1
1,20,1,20,0,103.509,-100.168,0.24,0.2,0,222,103.509,-100.168,0.24,0.2,0,222,103.509,-100.168,0.24,0.2,0,222,103.509,-100.168,0.24,0.2,0,222,103.509,-100.168,0.24,0.2,0,222,103.509,-100.168,0.24,0.2,0,222,0,0,0,0,0,0,1
1,21,1,21,0,5.60552,-101.361,0.24,0.2,0,222,5.60552,-101.361,0.24,0.2,0,222,5.60552,-101.361,0.24,0.2,0,222,5.60552,-101.361,0.24,0.2,0,222,5.60552,-101.361,0.24,0.2,0,222,5.60552,-101.361,0.24,0.2,0,222,0,0,0,0,0,0,1
1,22,1,22,0,6.73582,-102.834,0.24,0.2,0,222,6.73582,-102.834,0.24,0.2,0,222,6.73582,-102.834,0.24,0.2,0,222,6.73582,-102.834,0.24,0.2,0,222,6.73582,-102.834,0.24,0.2,0,222,6.73582,-102.834,0.24,0.2,0,222,0,0,0,0,0,0,1
1,23,1,23,0,7.74214,-103.926,0.24,0.2,0,222,7.74214,-103.926,0.24,0.2,0,222,7.74214,-103.926,0.24,0.2,0,222,7.74214,-103.926,0.24,0.2,0,222,7.74214,-103.926,0.24,0.2,0,222,7.74214,-103.926,0.24,0.2,0,222,0,0,0,0,0,0,1
1,24,1,24,0,8.6008,-104.304,0.24,0.2,0,222,8.6008,-104.304,0.24,0.2,0,222,8.6008,-104.304,0.24,0.2,0,222,8.6008,-104.304,0.24,0.2,0,222,8.6008,-104.304,0.24,0.2,0,222,8.6008,-104.304,0.24,0.2,0,222,0,0,0,0,0,0,1
1,25,1,25,0,9.19324,-103.982,0.24,0.2,0,222,9.19324,-103.982,0.24,0.2,0,222,9.19324,-103.982,0.24,0.2,0,222,9.19324,-103.982,0.24,0.2,0,222,9.19324,-103.982,0.24,0.2,0,222,9.19324,-103.982,0.24,0.2,0,222,0,0,0,0,0,0,1
1,26,1,26,0,9.53948,-103.102,0.24,0.2,0,222,9.53948,-103.102,0.24,0.2,0,222,9.53948,-103.102,0.24,0.2,0,222,9.53948,-103.102,0.24,0.2,0,222,9.53948,-103.102,0.24,0.2,0,222,9.53948,-103.102,0.24,0.2,0,222,0,0,0,0,0,0,1
1,27,1,27,0,9.66569,-101.743,0.24,0.2,0,222,9.66569,-101.743,0.24,0.2,0,222,9.66569,-101.743,0.24,0.2,0,222,9.66569,-101.743,0.24,0.2,0,222,9.66569,-101.743,0.24,0.2,0,222,9.66569,-101.743,0.24,0.2,0,222,0,0,0,0,0,0,1
1,28,1,28,0,9.52228,-99.5586,0.24,0.2,0,222,9.52228,-99.5586,0.24,0.2,0,222,9.52228,-99.5586,0.24,0.2,0,222,9.52228,-99.5586,0.24,0.2,0,222,9.52228,-99.5586,0.24,0.2,0,222,9.52228,-99.5586,0.24,0.2,0,222,0,0,0,0,0,0,1
1,29,1,29,0,9.16871,-96.6437,0.24,0.2,0,222,9.16871,-96.6437,0.24,0.2,0,222,9.16871,-96.6437,0.24,0.2,0,222,9.16871,-96.6437,0.24,0.2,0,222,9.16871,-96.6437,0.24,0.2,0,222,9.16871,-96.6437,0.24,0.2,0,222,0,0,0,0,0,0,1
1,30,1,30,0,8.71888,-93.4347,0.24,0.2,0,222,8.71888,-93.4347,0.24,0.2,0,222,8.71888,-93.4347,0.24,0.2,0,222,8.71888,-93.4347,0.24,0.2,0,222,8.71888,-93.4347,0.24,0.2,0,222,8.71888,-93.4347,0.24,0.2,0,222,0,0,0,0,0,0,1
1,31,1,31,0,8.25408,-90.2649,0.24,0.2,0,222,8.25408,-90.2649,0.24,0.2,0,222,8.25408,-90.2649,0.24,0.2,0,222,8.25408,-90.2649,0.24,0.2,0,222,8.25408,-90.2649,0.24,0.2,0,222,8.25408,-90.2649,0.24,0.2,0,222,0,0,0,0,0,0,1
1,32,1,32,0,7.81598,-87.3013,0.24,0.2,0,222,7.81598,-87.3013,0.24,0.2,0,222,7.81598,-87.3013,0.24,0.2,0,222,7.81598,-87.3013,0.24,0.2,0,222,7.81598,-87.3013,0.24,0.2,0,222,7.81598,-87.3013,0.24,0.2,0,222,0,0,0,0,0,0,1
1,33,1,33,0,7.42086,-84.6006,0.24,0.2,0,222,7.42086,-84.6006,0.24,0.2,0,222,7.42086,-84.6006,0.24,0.2,0,222,7.42086,-84.6006,0.24,0.2,0,222,7.42086,-84.6006,0.24,0.2,0,222,7.42086,-84.6006,0.24,0.2,0,222,0,0,0,0,0,0,1
1,34,1,34,0,7.07169,-82.163,0.24,0.2,0,222,7.07169,-82.163,0.24,0.2,0,222,7.07169,-82.163,0.24,0.2,0,222,7.07169,-82.163,0.24,0.2,0,222,7.07169,-82.163,0.24,0.2,0,222,7.07169,-82.163,0.24,0.2,0,222,0,0,0,0,0,0,1
1,35,1,35,0,6.76531,-79.9637,0.24,0.2,0,222,6.76531,-79.9637,0.24,0.2,0,222,6.76531,-79.9637,0.24,0.2,0,222,6.76531,-79.9637,0.24,0.2,0,222,6.76531,-79.9637,0.24,0.2,0,222,6.76531,-79.9637,0.24,0.2,0,222,0,0,0,0,0,0,1
1,36,1,36,0,6.49626,-77.9702,0.24,0.2,0,222,6.49626,-77.9702,0.24,0.2,0,222,6.49626,-77.9702,0.24,0.2,0,222,6.49626,-77.9702,0.24,0.2,0,222,6.49626,-77.9702,0.24,0.2,0,222,6.49626,-77.9702,0.24,0.2,0,222,0,0,0,0,0,0,1
1,37,1,37,0,6.25856,-76.15,0.24,0.2,0,222,6.25856,-76.15,0.24,0.2,0,222,6.25856,-76.15,0.24,0.2,0,222,6.25856,-76.15,0.24,0.2,0,222,6.25856,-76.15,0.24,0.2,0,222,6.25856,-76.15,0.24,0.2,0,222,0,0,0,0,0,0,1
1,38,1,38,0,6.04664,-74.4738,0.24,0.2,0,222,6.04664,-74.4738,0.24,0.2,0,222,6.04664,-74.4738,0.24,0.2,0,222,6.04664,-74.4738,0.24,0.2,0,222,6.04664,-74.4738,0.24,0.2,0,222,6.04664,-74.4738,0.24,0.2,0,222,0,0,0,0,0,0,1
1,39,1,39,0,5.85561,-72.9168,0.24,0.2,0,222,5.85561,-72.9168,0.24,0.2,0,222,5.85561,-72.9168,0.24,0.2,0,222,5.85561,-72.9168,0.24,0.2,0,222,5.85561,-72.9168,0.24,0.2,0,222,5.85561,-72.9168,0.24,0.2,0,222,0,0,0,0,0,0,1
1,40,1,40,0,5.68142,-71.4585,0.24,0.2,0,222,5.68142,-71.4585,0.24,0.2,0,222,5.68142,-71.4585,0.24,0.2,0,222,5.68142,-71.4585,0.24,0.2,0,222,5.68142,-71.4585,0.24,0.2,0,222,5.68142,-71.4585,0.24,0.2,0,222,0,0,0,0,0,0,1
1,41,1,41,0,5.52087,-70.0822,0.24,0.2,0,222,5.52087,-70.0822,0.24,0.2,0,222,5.52087,-70.0822,0.24,0.2,0,222,5.52087,-70.0822,0.24,0.2,0,222,5.52087,-70.0822,0.24,0.2,0,222,5.52087,-70.0822,0.24,0.2,0,222,0,0,0,0,0,0,1
