vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(Phi_e),avg(V),avg(X),avg(Y),avg(Z),avg(vtkOriginalPointIds),max(Phi_e),max(V),max(X),max(Y),max(Z),max(vtkOriginalPointIds),med(Phi_e),med(V),med(X),med(Y),med(Z),med(vtkOriginalPointIds),min(Phi_e),min(V),min(X),min(Y),min(Z),min(vtkOriginalPointIds),q1(Phi_e),q1(V),q1(X),q1(Y),q1(Z),q1(vtkOriginalPointIds),q3(Phi_e),q3(V),q3(X),q3(Y),q3(Z),q3(vtkOriginalPointIds),std(Phi_e),std(V),std(X),std(Y),std(Z),std(vtkOriginalPointIds),vtkValidPointMask
1,16,1,16,0,-94.8392,-88.0663,0.16,0.2,0,218,-94.8392,-88.0663,0.16,0.2,0,218,-94.8392,-88.0663,0.16,0.2,0,218,-94.8392,-88.0663,0.16,0.2,0,218,-94.8392,-88.0663,0.16,0.2,0,218,-94.8392,-88.0663,0.16,0.2,0,218,0,0,0,0,0,0,1
1,17,1,17,0,-94.3054,-85.1366,0.16,0.2,0,218,-94.3054,-85.1366,0.16,0.2,0,218,-94.3054,-85.1366,0.16,0.2,0,218,-94.3054,-85.1366,0.16,0.2,0,218,-94.3054,-85.1366,0.16,0.2,0,218,-94.3054,-85.1366,0.16,0.2,0,218,0,0,0,0,0,0,1
1,18,1,18,0,-94.1885,-79.7785,0.16,0.2,0,218,-94.1885,-79.7785,0.16,0.2,0,218,-94.1885,-79.7785,0.16,0.2,0,218,-94.1885,-79.7785,0.16,0.2,0,218,-94.1885,-79.7785,0.16,0.2,0,218,-94.1885,-79.7785,0.16,0.2,0,218,0,0,0,0,0,0,1
1,19,1,19,0,-94.5917,-72.4344,0.16,0.2,0,218,-94.5917,-72.4344,0.16,0.2,0,218,-94.5917,-72.4344,0.16,0.2,0,218,-94.5917,-72.4344,0.16,0.2,0,218,-94.5917,-72.4344,0.16,0.2,0,218,-94.5917,-72.4344,0.16,0.2,0,218,0,0,0,0,0,0,1
1,20,1,20,0,-96.008,-60.6994,0.16,0.2,0,218,-96.008,-60.6994,0.16,0.2,0,218,-96.008,-60.6994,0.16,0.2,0,218,-96.008,-60.6994,0.16,0.2,0,218,-96.008,-60.6994,0.16,0.2,0,218,-96.008,-60.6994,0.16,0.2,0,218,0,0,0,0,0,0,1
1,21,1,21,0,0.647544,-47.1005,0.16,0.2,0,218,0.647544,-47.1005,0.16,0.2,0,218,0.647544,-47.1005,0.16,0.2,0,218,0.647544,-47.1005,0.16,0.2,0,218,0.647544,-47.1005,0.16,0.2,0,218,0.647544,-47.1005,0.16,0.2,0,218,0,0,0,0,0,0,1
1,22,1,22,0,-1.80779,-33.3673,0.16,0.2,0,218,-1.80779,-33.3673,0.16,0.2,0,218,-1.80779,-33.3673,0.16,0.2,0,218,-1.80779,-33.3673,0.16,0.2,0,218,-1.80779,-33.3673,0.16,0.2,0,218,-1.80779,-33.3673,0.16,0.2,0,218,0,0,0,0,0,0,1
1,23,1,23,0,-5.96703,-10.3761,0.16,0.2,0,218,-5.96703,-10.3761,0.16,0.2,0,218,-5.96703,-10.3761,0.16,0.2,0,218,-5.96703,-10.3761,0.16,0.2,0,218,-5.96703,-10.3761,0.16,0.2,0,218,-5.96703,-10.3761,0.16,0.2,0,218,0,0,0,0,0,0,1
1,24,1,24,0,-8.46909,4.79598,0.16,0.2,0,218,-8.46909,4.79598,0.16,0.2,0,218,-8.46909,4.79598,0.16,0.2,0,218,-8.46909,4.79598,0.16,0.2,0,218,-8.46909,4.79598,0.16,0.2,0,218,-8.46909,4.79598,0.16,0.2,0,218,0,0,0,0,0,0,1
1,25,1,25,0,-8.70036,8.25158,0.16,0.2,0,218,-8.70036,8.25158,0.16,0.2,0,218,-8.70036,8.25158,0.16,0.2,0,218,-8.70036,8.25158,0.16,0.2,0,218,-8.70036,8.25158,0.16,0.2,0,218,-8.70036,8.25158,0.16,0.2,0,218,0,0,0,0,0,0,1
1,26,1,26,0,-8.86184,10.9825,0.16,0.2,0,218,-8.86184,10.9825,0.16,0.2,0,218,-8.86184,10.9825,0.16,0.2,0,218,-8.86184,10.9825,0.16,0.2,0,218,-8.86184,10.9825,0.16,0.2,0,218,-8.86184,10.9825,0.16,0.2,0,218,0,0,0,0,0,0,1
1,27,1,27,0,-9.53264,16.0945,0.16,0.2,0,218,-9.53264,16.0945,0.16,0.2,0,218,-9.53264,16.0945,0.16,0.2,0,218,-9.53264,16.0945,0.16,0.2,0,218,-9.53264,16.0945,0.16,0.2,0,218,-9.53264,16.0945,0.16,0.2,0,218,0,0,0,0,0,0,1
1,28,1,28,0,-9.60255,18.5367,0.16,0.2,0,218,-9.60255,18.5367,0.16,0.2,0,218,-9.60255,18.5367,0.16,0.2,0,218,-9.60255,18.5367,0.16,0.2,0,218,-9.60255,18.5367,0.16,0.2,0,218,-9.60255,18.5367,0.16,0.2,0,218,0,0,0,0,0,0,1
1,29,1,29,0,-9.02051,18.246,0.16,0.2,0,218,-9.02051,18.246,0.16,0.2,0,218,-9.02051,18.246,0.16,0.2,0,218,-9.02051,18.246,0.16,0.2,0,218,-9.02051,18.246,0.16,0.2,0,218,-9.02051,18.246,0.16,0.2,0,218,0,0,0,0,0,0,1
1,30,1,30,0,-8.24633,16.7947,0.16,0.2,0,218,-8.24633,16.7947,0.16,0.2,0,218,-8.24633,16.7947,0.16,0.2,0,218,-8.24633,16.7947,0.16,0.2,0,218,-8.24633,16.7947,0.16,0.2,0,218,-8.24633,16.7947,0.16,0.2,0,218,0,0,0,0,0,0,1
1,31,1,31,0,-7.73889,16.5466,0.16,0.2,0,218,-7.73889,16.5466,0.16,0.2,0,218,-7.73889,16.5466,0.16,0.2,0,218,-7.73889,16.5466,0.16,0.2,0,218,-7.73889,16.5466,0.16,0.2,0,218,-7.73889,16.5466,0.16,0.2,0,218,0,0,0,0,0,0,1
1,32,1,32,0,-7.30506,17.3472,0.16,0.2,0,218,-7.30506,17.3472,0.16,0.2,0,218,-7.30506,17.3472,0.16,0.2,0,218,-7.30506,17.3472,0.16,0.2,0,218,-7.30506,17.3472,0.16,0.2,0,218,-7.30506,17.3472,0.16,0.2,0,218,0,0,0,0,0,0,1
1,33,1,33,0,-6.80374,18.05,0.16,0.2,0,218,-6.80374,18.05,0.16,0.2,0,218,-6.80374,18.05,0.16,0.2,0,218,-6.80374,18.05,0.16,0.2,0,218,-6.80374,18.05,0.16,0.2,0,218,-6.80374,18.05,0.16,0.2,0,218,0,0,0,0,0,0,1
1,34,1,34,0,-6.23099,18.2247,0.16,0.2,0,218,-6.23099,18.2247,0.16,0.2,0,218,-6.23099,18.2247,0.16,0.2,0,218,-6.23099,18.2247,0.16,0.2,0,218,-6.23099,18.2247,0.16,0.2,0,218,-6.23099,18.2247,0.16,0.2,0,218,0,0,0,0,0,0,1
1,35,1,35,0,-5.58936,17.9856,0.16,0.2,0,218,-5.58936,17.9856,0.16,0.2,0,218,-5.58936,17.9856,0.16,0.2,0,218,-5.58936,17.9856,0.16,0.2,0,218,-5.58936,17.9856,0.16,0.2,0,218,-5.58936,17.9856,0.16,0.2,0,218,0,0,0,0,0,0,1
1,36,1,36,0,-5.11408,17.9544,0.16,0.2,0,218,-5.11408,17.9544,0.16,0.2,0,218,-5.11408,17.9544,0.16,0.2,0,218,-5.11408,17.9544,0.16,0.2,0,218,-5.11408,17.9544,0.16,0.2,0,218,-5.11408,17.9544,0.16,0.2,0,218,0,0,0,0,0,0,1
1,37,1,37,0,-4.74561,18.1973,0.16,0.2,0,218,-4.74561,18.1973,0.16,0.2,0,218,-4.74561,18.1973,0.16,0.2,0,218,-4.74561,18.1973,0.16,0.2,0,218,-4.74561,18.1973,0.16,0.2,0,218,-4.74561,18.1973,0.16,0.2,0,218,0,0,0,0,0,0,1
1,38,1,38,0,-4.35195,18.4776,0.16,0.2,0,218,-4.35195,18.4776,0.16,0.2,0,218,-4.35195,18.4776,0.16,0.2,0,218,-4.35195,18.4776,0.16,0.2,0,218,-4.35195,18.4776,0.16,0.2,0,218,-4.35195,18.4776,0.16,0.2,0,218,0,0,0,0,0,0,1
1,39,1,39,0,-3.76696,18.6279,0.16,0.2,0,218,-3.76696,18.6279,0.16,0.2,0,218,-3.76696,18.6279,0.16,0.2,0,218,-3.76696,18.6279,0.16,0.2,0,218,-3.76696,18.6279,0.16,0.2,0,218,-3.76696,18.6279,0.16,0.2,0,218,0,0,0,0,0,0,1
1,40,1,40,0,-2.91086,18.7094,0.16,0.2,0,218,-2.91086,18.7094,0.16,0.2,0,218,-2.91086,18.7094,0.16,0.2,0,218,-2.91086,18.7094,0.16,0.2,0,218,-2.91086,18.7094,0.16,0.2,0,218,-2.91086,18.7094,0.16,0.2,0,218,0,0,0,0,0,0,1
1,41,1,41,0,-2.16086,18.8134,0.16,0.2,0,218,-2.16086,18.8134,0.16,0.2,0,218,-2.16086,18.8134,0.16,0.2,0,218,-2.16086,18.8134,0.16,0.2,0,218,-2.16086,18.8134,0.16,0.2,0,218,-2.16086,18.8134,0.16,0.2,0,218,0,0,0,0,0,0,1
1,42,1,42,0,-1.51404,18.9221,0.16,0.2,0,218,-1.51404,18.9221,0.16,0.2,0,218,-1.51404,18.9221,0.16,0.2,0,218,-1.51404,18.9221,0.16,0.2,0,218,-1.51404,18.9221,0.16,0.2,0,218,-1.51404,18.9221,0.16,0.2,0,218,0,0,0,0,0,0,1
1,43,1,43,0,-0.837732,18.9759,0.16,0.2,0,218,-0.837732,18.9759,0.16,0.2,0,218,-0.837732,18.9759,0.16,0.2,0,218,-0.837732,18.9759,0.16,0.2,0,218,-0.837732,18.9759,0.16,0.2,0,218,-0.837732,18.9759,0.16,0.2,0,218,0,0,0,0,0,0,1
1,44,1,44,0,-0.0908264,18.9563,0.16,0.2,0,218,-0.0908264,18.9563,0.16,0.2,0,218,-0.0908264,18.9563,0.16,0.2,0,218,-0.0908264,18.9563,0.16,0.2,0,218,-0.0908264,18.9563,0.16,0.2,0,218,-0.0908264,18.9563,0.16,0.2,0,218,0,0,0,0,0,0,1
1,45,1,45,0,0.288318,18.8819,0.16,0.2,0,218,0.288318,18.8819,0.16,0.2,0,218,0.288318,18.8819,0.16,0.2,0,218,0.288318,18.8819,0.16,0.2,0,218,0.288318,18.8819,0.16,0.2,0,218,0.288318,18.8819,0.16,0.2,0,218,0,0,0,0,0,0,1
1,46,1,46,0,0.408125,18.7697,0.16,0.2,0,218,0.408125,18.7697,0.16,0.2,0,218,0.408125,18.7697,0.16,0.2,0,218,0.408125,18.7697,0.16,0.2,0,218,0.408125,18.7697,0.16,0.2,0,218,0.408125,18.7697,0.16,0.2,0,218,0,0,0,0,0,0,1
1,47,1,47,0,0.444527,18.6306,0.16,0.2,0,218,0.444527,18.6306,0.16,0.2,0,218,0.444527,18.6306,0.16,0.2,0,218,0.444527,18.6306,0.16,0.2,0,218,0.444527,18.6306,0.16,0.2,0,218,0.444527,18.6306,0.16,0.2,0,218,0,0,0,0,0,0,1
1,48,1,48,0,0.455491,18.4745,0.16,0.2,0,218,0.455491,18.4745,0.16,0.2,0,218,0.455491,18.4745,0.16,0.2,0,218,0.455491,18.4745,0.16,0.2,0,218,0.455491,18.4745,0.16,0.2,0,218,0.455491,18.4745,0.16,0.2,0,218,0,0,0,0,0,0,1
1,49,1,49,0,0.458907,18.3099,0.16,0.2,0,218,0.458907,18.3099,0.16,0.2,0,218,0.458907,18.3099,0.16,0.2,0,218,0.458907,18.3099,0.16,0.2,0,218,0.458907,18.3099,0.16,0.2,0,218,0.458907,18.3099,0.16,0.2,0,218,0,0,0,0,0,0,1
1,50,1,50,0,0.460024,18.144,0.16,0.2,0,218,0.460024,18.144,0.16,0.2,0,218,0.460024,18.144,0.16,0.2,0,218,0.460024,18.144,0.16,0.2,0,218,0.460024,18.144,0.16,0.2,0,218,0.460024,18.144,0.16,0.2,0,218,0,0,0,0,0,0,1
1,51,1,51,0,0.459881,17.982,0.16,0.2,0,218,0.459881,17.982,0.16,0.2,0,218,0.459881,17.982,0.16,0.2,0,218,0.459881,17.982,0.16,0.2,0,218,0.459881,17.982,0.16,0.2,0,218,0.459881,17.982,0.16,0.2,0,218,0,0,0,0,0,0,1
1,52,1,52,0,0.458252,17.8271,0.16,0.2,0,218,0.458252,17.8271,0.16,0.2,0,218,0.458252,17.8271,0.16,0.2,0,218,0.458252,17.8271,0.16,0.2,0,218,0.458252,17.8271,0.16,0.2,0,218,0.458252,17.8271,0.16,0.2,0,218,0,0,0,0,0,0,1
1,53,1,53,0,0.454718,17.6811,0.16,0.2,0,218,0.454718,17.6811,0.16,0.2,0,218,0.454718,17.6811,0.16,0.2,0,218,0.454718,17.6811,0.16,0.2,0,218,0.454718,17.6811,0.16,0.2,0,218,0.454718,17.6811,0.16,0.2,0,218,0,0,0,0,0,0,1
1,54,1,54,0,0.449008,17.5443,0.16,0.2,0,218,0.449008,17.5443,0.16,0.2,0,218,0.449008,17.5443,0.16,0.2,0,218,0.449008,17.5443,0.16,0.2,0,218,0.449008,17.5443,0.16,0.2,0,218,0.449008,17.5443,0.16,0.2,0,218,0,0,0,0,0,0,1
1,55,1,55,0,0.441042,17.4167,0.16,0.2,0,218,0.441042,17.4167,0.16,0.2,0,218,0.441042,17.4167,0.16,0.2,0,218,0.441042,17.4167,0.16,0.2,0,218,0.441042,17.4167,0.16,0.2,0,218,0.441042,17.4167,0.16,0.2,0,218,0,0,0,0,0,0,1
1,56,1,56,0,0.430877,17.2978,0.16,0.2,0,218,0.430877,17.2978,0.16,0.2,0,218,0.430877,17.2978,0.16,0.2,0,218,0.430877,17.2978,0.16,0.2,0,218,0.430877,17.2978,0.16,0.2,0,218,0.430877,17.2978,0.16,0.2,0,218,0,0,0,0,0,0,1
1,57,1,57,0,0.418715,17.1875,0.16,0.2,0,218,0.418715,17.1875,0.16,0.2,0,218,0.418715,17.1875,0.16,0.2,0,218,0.418715,17.1875,0.16,0.2,0,218,0.418715,17.1875,0.16,0.2,0,218,0.418715,17.1875,0.16,0.2,0,218,0,0,0,0,0,0,1
1,58,1,58,0,0.40509,17.0855,0.16,0.2,0,218,0.40509,17.0855,0.16,0.2,0,218,0.40509,17.0855,0.16,0.2,0,218,0.40509,17.0855,0.16,0.2,0,218,0.40509,17.0855,0.16,0.2,0,218,0.40509,17.0855,0.16,0.2,0,218,0,0,0,0,0,0,1
